PlayerTeeSG,TeeSG,PlayerAppSG,AppSG,PlayerAroSG,AroSG,PlayerPuttSG,PuttSG,PlayerDriveDist,DriveDist,PlayerDriveAcc,DriveAcc
"HAFTHORSSON, Birgir",-0.283,"HEATH, James",-0.301,"FERNANDEZ, Scott",-0.226,"PIGEM, Carlos",-0.329,"HANSON, Peter",286.2,"WILLETT, Danny",0.55
"WU, Ashun",-0.286,"BLAND, Adam",-0.311,"SADDIER, Adrien",-0.239,"BOURDY, Grégory",-0.33,"LUITEN, Joost",285.9,"BERTASIO, Nino",0.55
"MCGOWAN, Ross",-0.302,"BROWN, Steven",-0.318,"CULLEN, Nick",-0.241,"BJERREGAARD, Lucas",-0.331,"BLAND, Richard",285.9,"WALTERS, Justin",0.55
"DREDGE, Bradley",-0.309,"CHO, Rak hyun",-0.323,"WARING, Paul",-0.242,"MOLINARI, Francesco",-0.335,"NORRIS, Jason",285.7,"CANTER, Laurie",0.55
"JACQUELIN, Raphaël",-0.315,"PARATORE, Renato",-0.326,"POULTER, Ian",-0.246,"BLOMSTRAND, Christofer",-0.34,"HAN, Seungsu",285.6,"CHO, Rak hyun",0.54
"PAISLEY, Chris",-0.318,"SORDET, Clément",-0.332,"HERBERT, Lucas",-0.25,"BURMESTER, Dean",-0.348,"WOOD, Chris",285.1,"OLESEN, Thorbjørn",0.54
"SADDIER, Adrien",-0.323,"GREEN, Gavin",-0.333,"CONNELLY, Austin",-0.252,"PEPPERELL, Eddie",-0.359,"KIEFFER, Maximilian",284.8,"MIYAZATO, Yusaku",0.54
"DODT, Andrew",-0.336,"HORSEY, David",-0.335,"STERNE, Richard",-0.262,"ORMSBY, Wade",-0.362,"PIGEM, Carlos",284.2,"HORSFIELD, Sam",0.54
"WARREN, Marc",-0.352,"ANGLES, Pep",-0.372,"SCHNEIDER, Marcel",-0.267,"WINTHER, Jeff",-0.365,"ILONEN, Mikko",283.8,"NORRIS, Jason",0.54
"BJØRN, Thomas",-0.356,"RAI, Aaron",-0.377,"KOEPKA, Chase",-0.269,"KOEPKA, Chase",-0.366,"ORMSBY, Wade",283.6,"GEARY, Josh",0.54
"NIXON, Matthew",-0.359,"HEND, Scott",-0.382,"LI, Haotong",-0.302,"CHO, Rak hyun",-0.373,"JACQUELIN, Raphaël",283.5,"DREDGE, Bradley",0.54
"MIYAZATO, Yusaku",-0.367,"BLAND, Richard",-0.385,"BERTASIO, Nino",-0.309,"ILONEN, Mikko",-0.395,"BEZUIDENHOUT, Christiaan",283.5,"FERNANDEZ, Scott",0.54
"BLAND, Adam",-0.368,"STUREHED, Henric",-0.386,"SIEM, Marcel",-0.325,"FRITTELLI, Dylan",-0.41,"TANIHARA, Hideto",283.3,"MCGOWAN, Ross",0.54
"TANIHARA, Hideto",-0.375,"SULLIVAN, Andy",-0.398,"ANGLES, Pep",-0.34,"GAGLI, Lorenzo",-0.412,"BJÖRK, Alexander",283,"JAMIESON, Scott",0.54
"CAÑIZARES, Alejandro",-0.388,"MIYAZATO, Yusaku",-0.409,"BROWN, Steven",-0.358,"DRYSDALE, David",-0.432,"PETERSON, Paul",283,"KHONGWATMAI, Phachara",0.54
"MOLINARI, Edoardo",-0.39,"KARLSSON, Robert",-0.41,"SYME, Connor",-0.36,"GROS, Sébastien",-0.433,"NIXON, Matthew",283,"LAGERGREN, Joakim",0.53
"FRASER, Marcus",-0.418,"DUNNE, Paul",-0.411,"HEISELE, Sebastian",-0.378,"SURI, Julian",-0.436,"CHOI, Jinho",282.8,"BROOKS, Daniel",0.53
"BROOKS, Daniel",-0.429,"EDFORS, Johan",-0.423,"FISHER, Ross",-0.383,"AGUILAR, Felipe",-0.448,"MORRISON, James",282.5,"FISHER, Oliver",0.53
"BJÖRK, Alexander",-0.501,"PULKKANEN, Tapio",-0.443,"GALLACHER, Stephen",-0.386,"FOX, Ryan",-0.45,"JANEWATTANANOND, Jazz",282.2,"GRACE, Branden",0.53
"EDFORS, Johan",-0.543,"KRUYSWIJK, Jacques",-0.47,"HANSON, Chris",-0.388,"NORRIS, Jason",-0.462,"GEYGER, Nico",281.7,"ANGLES, Pep",0.53
"DONALDSON, Jamie",-0.546,"THOMSON, Jonathan",-0.54,"SOUTHGATE, Matthew",-0.397,"DANTORP, Jens",-0.509,"PEPPERELL, Eddie",281.6,"SADDIER, Adrien",0.53
"NORRIS, Jason",-0.563,"KHONGWATMAI, Phachara",-0.543,"STUREHED, Henric",-0.452,"WANG, Jeunghun",-0.514,"BOURDY, Grégory",281.3,"FDEZ-CASTAÑO, Gonzalo",0.53
"BEZUIDENHOUT, Christiaan",-0.574,"VINCENT, Scott",-0.56,"HEND, Scott",-0.459,"SIEM, Marcel",-0.522,"JAIDEE, Thongchai",281.3,"FOX, Ryan",0.52
"FISHER, Oliver",-0.619,"JENSEN, Lasse",-0.664,"DANTORP, Jens",-0.474,"HANSON, Chris",-0.523,"WATTEL, Romain",281.1,"HARRINGTON, Padraig",0.52
"DUNNE, Paul",-0.62,"GUERRIER, Julien",-0.677,"WATTEL, Romain",-0.517,"FERNANDEZ, Scott",-0.559,"KJELDSEN, Søren",280.6,"IMMELMAN, Trevor",0.52
"BOURDY, Grégory",-0.625,"FORD, Charlie",-0.718,"COLSAERTS, Nicolas",-0.534,"LOWRY, Shane",-0.588,"MCEVOY, Richard",280.5,"WARREN, Marc",0.52
"GEARY, Josh",-0.664,"STONE, Brandon",-0.755,"DRYSDALE, David",-0.544,"DONALDSON, Jamie",-0.641,"CHESTERS, Ashley",280.1,"GREEN, Gavin",0.52
"MANASSERO, Matteo",-0.666,"BROOKS, Daniel",-0.806,"FOSTER, Mark",-0.546,"MCILROY, Rory",-0.645,"SCRIVENER, Jason",279.8,"MCILROY, Rory",0.52
"KARLSSON, Robert",-0.711,"RUMFORD, Brett",-0.81,"THOMSON, Jonathan",-0.555,"MCEVOY, Richard",-0.653,"WU, Ashun",279.7,"COLSAERTS, Nicolas",0.52
"HOWELL, David",-0.786,"IM, Daniel",-0.813,"GEYGER, Nico",-0.556,"HEATH, James",-0.688,"BJØRN, Thomas",279.4,"STONE, Brandon",0.52
"PAVAN, Andrea",-0.788,"SHINKWIN, Callum",-0.916,"SHARMA, Shubhankar",-0.648,"SCRIVENER, Jason",-0.75,"KOEPKA, Chase",279.3,"LOMBARD, Zander",0.52
"IM, Daniel",-0.868,"WIDEGREN, Pontus",-0.93,"EVANS, Ryan",-0.689,"QUIROS, Alvaro",-0.757,"HORSEY, David",278,"FORD, Charlie",0.51
"RUMFORD, Brett",-0.981,"NEIL, Bradley",-1.074,"HEATH, James",-0.811,"BJØRN, Thomas",-0.841,"AGUILAR, Felipe",278,"BURMESTER, Dean",0.51
"WIDEGREN, Pontus",-1,"PIGEM, Carlos",-1.243,"HAFTHORSSON, Birgir",-0.904,"LOMBARD, Zander",-0.959,"MANASSERO, Matteo",277.7,"PIETERS, Thomas",0.51
"CHAWRASIA, S.S.P.",-1.043,"SCHNEIDER, Marcel",-1.372,"NEIL, Bradley",-1.199,"ORIOL, Pedro",-1.357,"CONNELLY, Austin",277.1,"PARATORE, Renato",0.51
,,,,,,,,"HOWELL, David",276.5,"SCHWARTZEL, Charl",0.51
,,,,,,,,"IM, Daniel",276.3,"HEATH, James",0.5
,,,,,,,,"FOSTER, Mark",275.6,"QUIROS, Alvaro",0.49
,,,,,,,,"FRASER, Marcus",272.5,"COETZEE, George",0.49
,,,,,,,,"CHAWRASIA, S.S.P.",267.1,"PULKKANEN, Tapio",0.49
,,,,,,,,"BLAND, Adam",257.1,"HEND, Scott",0.49
,,,,,,,,,,"WIDEGREN, Pontus",0.48
,,,,,,,,,,"RUMFORD, Brett",0.48
,,,,,,,,,,"DUNNE, Paul",0.43
